R_fighter,B_fighter,date,location,Winner,weight_class,B_wins,B_losses,B_draw,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_wins,R_losses,R_draw,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Adrian Yanez,Gustavo Lopez,3/20/2021,"Las Vegas, Nevada, USA",Red,Bantamweight,1,1,0,0,0,0,0,1,0,Orthodox,165.1,170.18,135,1,0,0,0,0,0,1,0,0,Orthodox,170.18,177.8,135,31,27
Trevin Giles,Roman Dolidze,3/20/2021,"Las Vegas, Nevada, USA",Red,Middleweight,2,0,0,0,1,0,1,0,0,Orthodox,187.96,193.04,205,4,2,0,0,1,0,3,0,0,Orthodox,182.88,187.96,185,32,28
Tai Tuivasa,Harry Hunsucker,3/20/2021,"Las Vegas, Nevada, USA",Red,Heavyweight,0,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,241,4,3,0,0,0,1,3,0,0,Southpaw,187.96,190.5,264,32,28
Cheyanne Buys,Montserrat Conejo,3/20/2021,"Las Vegas, Nevada, USA",Blue,WomenStrawweight,0,0,0,0,0,0,0,0,0,Southpaw,152.4,154.94,115,0,0,0,0,0,0,0,0,0,Switch,160.02,160.02,115,28,25
Marion Reneau,Macy Chiasson,3/20/2021,"Las Vegas, Nevada, USA",Blue,WomenBantamweight,4,1,0,0,0,1,2,1,0,Orthodox,180.34,182.88,135,5,6,0,0,0,1,2,2,0,Orthodox,167.64,172.72,135,29,43
Leonardo Santos,Grant Dawson,3/20/2021,"Las Vegas, Nevada, USA",Blue,Lightweight,4,0,0,0,0,2,0,2,0,Switch,177.8,182.88,145,7,1,0,0,1,2,2,2,0,Orthodox,182.88,190.5,155,27,41
Song Kenan,Max Griffin,3/20/2021,"Las Vegas, Nevada, USA",Blue,Welterweight,4,6,0,1,0,1,2,0,0,Orthodox,180.34,193.04,170,4,1,0,0,0,1,3,0,0,Orthodox,182.88,180.34,170,35,31
Derek Brunson,Kevin Holland,3/20/2021,"Las Vegas, Nevada, USA",Red,Middleweight,8,2,0,0,2,1,3,2,0,Orthodox,190.5,205.74,185,12,5,0,0,0,4,7,1,0,Southpaw,185.42,195.58,185,28,37
Montel Jackson,Jesse Strader,3/20/2021,"Las Vegas, Nevada, USA",Red,Bantamweight,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,3,2,0,0,0,2,0,1,0,Southpaw,177.8,190.5,135,29,28
Bruno Silva,JP Buys,3/20/2021,"Las Vegas, Nevada, USA",Red,Flyweight,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,125,0,3,0,0,0,0,0,0,0,,182.88,,185,24,31
Manel Kape,Matheus Nicolau,3/13/2021,"Las Vegas, Nevada, USA",Blue,Flyweight,3,1,0,0,1,1,0,1,0,Orthodox,167.64,167.64,125,0,1,0,0,0,0,0,0,0,Southpaw,165.1,172.72,125,28,27
Misha Cirkunov,Ryan Spann,3/13/2021,"Las Vegas, Nevada, USA",Blue,LightHeavyweight,4,1,0,0,1,1,1,1,0,Orthodox,195.58,200.66,205,6,3,0,0,0,0,1,5,0,Orthodox,190.5,195.58,205,29,34
Leon Edwards,Belal Muhammad,3/13/2021,"Las Vegas, Nevada, USA",Draw,Welterweight,9,3,0,0,1,6,1,1,0,Orthodox,180.34,182.88,170,10,2,0,0,1,6,2,1,0,Southpaw,187.96,187.96,170,32,29
Charles Jourdain,Marcelo Rojo,3/13/2021,"Las Vegas, Nevada, USA",Red,Featherweight,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,145,1,3,0,0,0,0,1,0,0,Switch,175.26,175.26,145,32,25
Eryk Anders,Darren Stewart,3/13/2021,"Las Vegas, Nevada, USA",Draw,Middleweight,5,6,0,0,1,1,2,1,0,Orthodox,182.88,187.96,185,5,5,0,0,1,1,3,0,0,Southpaw,185.42,190.5,185,30,33
Angela Hill,Ashley Yoder,3/13/2021,"Las Vegas, Nevada, USA",Red,WomenStrawweight,3,5,0,0,1,2,0,0,0,Southpaw,170.18,175.26,115,7,9,0,0,0,5,1,0,1,Orthodox,160.02,162.56,115,33,36
Jonathan Martinez,Davey Grant,3/13/2021,"Las Vegas, Nevada, USA",Blue,Bantamweight,3,3,0,0,1,1,1,0,0,Orthodox,172.72,175.26,135,4,2,0,0,0,2,2,0,0,Southpaw,172.72,177.8,135,35,26
Dan Ige,Gavin Tucker,3/13/2021,"Las Vegas, Nevada, USA",Red,Featherweight,4,1,0,0,0,2,0,2,0,Southpaw,167.64,167.64,145,6,2,0,0,2,2,1,1,0,Orthodox,170.18,180.34,145,34,29
Nasrat Haqparast,Rafa Garcia,3/13/2021,"Las Vegas, Nevada, USA",Red,Lightweight,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,155,4,2,0,0,0,3,1,0,0,Southpaw,177.8,182.88,155,26,25
Cortney Casey,JJ Aldrich,3/13/2021,"Las Vegas, Nevada, USA",Blue,WomenFlyweight,4,3,0,0,0,4,0,0,0,Southpaw,165.1,170.18,125,5,7,0,0,1,1,1,2,0,Orthodox,170.18,170.18,125,28,33
Matthew Semelsberger,Jason Witt,3/13/2021,"Las Vegas, Nevada, USA",Red,Welterweight,1,1,0,0,0,0,0,1,0,Orthodox,177.8,177.8,170,1,0,0,0,0,1,0,0,0,Switch,185.42,190.5,170,34,28
Rani Yahya,Ray Rodriguez,3/13/2021,"Las Vegas, Nevada, USA",Red,Bantamweight,0,1,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,11,6,0,0,1,4,0,6,0,Orthodox,167.64,170.18,135,33,36
Gloria de Paula,Jinh Yu Frey,3/13/2021,"Las Vegas, Nevada, USA",Blue,WomenStrawweight,0,2,0,0,0,0,0,0,0,Southpaw,160.02,165.1,115,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,115,35,25
Dominick Cruz,Casey Kenney,3/6/2021,"Las Vegas, Nevada, USA",Red,Bantamweight,5,1,0,0,0,4,0,1,0,Southpaw,170.18,172.72,140,5,2,0,0,1,3,1,0,0,Orthodox,172.72,172.72,135,29,35
Song Yadong,Kyler Phillips,3/6/2021,"Las Vegas, Nevada, USA",Blue,Bantamweight,2,0,0,0,0,1,1,0,0,Orthodox,172.72,182.88,135,5,1,0,0,0,2,2,1,0,Orthodox,172.72,170.18,145,25,23
Petr Yan,Aljamain Sterling,3/6/2021,"Las Vegas, Nevada, USA",Blue,Bantamweight,11,3,0,0,0,6,1,4,0,Orthodox,170.18,180.34,135,7,0,0,0,0,3,4,0,0,Switch,170.18,170.18,135,31,28
Jan Blachowicz,Israel Adesanya,3/6/2021,"Las Vegas, Nevada, USA",Red,LightHeavyweight,9,0,0,0,1,4,4,0,0,Switch,193.04,203.2,185,10,5,0,0,1,3,4,2,0,Orthodox,187.96,198.12,205,31,38
Thiago Santos,Aleksandar Rakic,3/6/2021,"Las Vegas, Nevada, USA",Blue,LightHeavyweight,5,1,0,0,0,3,2,0,0,Orthodox,193.04,198.12,205,13,7,0,0,0,2,11,0,0,Orthodox,187.96,193.04,205,29,37
Joseph Benavidez,Askar Askarov,3/6/2021,"Las Vegas, Nevada, USA",Blue,Flyweight,2,1,0,0,0,2,0,0,0,Orthodox,167.64,170.18,125,15,5,0,0,1,8,5,1,0,Southpaw,162.56,165.1,125,28,36
Amanda Nunes,Megan Anderson,3/6/2021,"Las Vegas, Nevada, USA",Red,WomenFeatherweight,3,2,0,0,0,0,2,1,0,Orthodox,182.88,182.88,145,13,1,0,0,1,3,7,2,0,Orthodox,172.72,175.26,145,31,32
Islam Makhachev,Drew Dober,3/6/2021,"Las Vegas, Nevada, USA",Red,Lightweight,9,6,0,0,0,3,5,1,0,Southpaw,172.72,177.8,155,7,1,0,0,0,4,1,2,0,Southpaw,177.8,177.8,155,32,29
Tim Elliott,Jordan Espinosa,3/6/2021,"Las Vegas, Nevada, USA",Red,Flyweight,2,3,0,0,0,2,0,0,0,Orthodox,167.64,175.26,125,5,9,0,0,0,4,0,1,0,Southpaw,170.18,167.64,125,31,34
Livinha Souza,Amanda Lemos,3/6/2021,"Las Vegas, Nevada, USA",Blue,WomenStrawweight,2,1,0,0,0,1,0,1,0,Southpaw,162.56,165.1,115,3,1,0,0,1,1,0,1,0,Orthodox,160.02,160.02,115,33,29
Rogerio Bontorin,Kai Kara-France,3/6/2021,"Las Vegas, Nevada, USA",Blue,Flyweight,4,2,0,0,1,3,0,0,0,Orthodox,162.56,175.26,125,2,1,0,0,1,0,0,0,1,Orthodox,165.1,170.18,125,27,28
Uros Medic,Aalon Cruz,3/6/2021,"Las Vegas, Nevada, USA",Red,Lightweight,0,1,0,0,0,0,0,0,0,Switch,182.88,198.12,145,0,0,0,0,0,0,0,0,0,Southpaw,185.42,180.34,155,31,27
Kennedy Nzechukwu,Carlos Ulberg,3/6/2021,"Las Vegas, Nevada, USA",Red,LightHeavyweight,0,0,0,0,0,0,0,0,0,Orthodox,193.04,195.58,205,1,1,0,0,0,1,0,0,0,Southpaw,195.58,210.82,205,30,28
Sean Brady,Jake Matthews,3/6/2021,"Las Vegas, Nevada, USA",Red,Welterweight,10,4,0,0,1,4,0,4,1,Orthodox,180.34,185.42,170,3,0,0,0,0,2,0,1,0,Orthodox,177.8,182.88,170,26,28
Mario Bautista,Trevin Jones,3/6/2021,"Las Vegas, Nevada, USA",Blue,Bantamweight,0,1,0,0,0,0,0,0,0,Southpaw,170.18,177.8,140,2,1,0,0,0,1,1,0,0,Switch,175.26,175.26,135,30,27
Jairzinho Rozenstruik,Ciryl Gane,2/27/2021,"Las Vegas, Nevada, USA",Blue,Heavyweight,4,0,0,0,0,1,1,2,0,Orthodox,193.04,205.74,245,5,1,0,0,0,0,5,0,0,Orthodox,193.04,198.12,242,30,32
Montana De La Rosa,Mayra Bueno Silva,2/27/2021,"Las Vegas, Nevada, USA",Draw,WomenFlyweight,2,1,0,0,0,0,0,2,0,Orthodox,167.64,167.64,135,4,2,0,0,0,1,0,3,0,Orthodox,170.18,172.72,125,29,26
Vince Cachero,Ronnie Lawrence,2/27/2021,"Las Vegas, Nevada, USA",Blue,Bantamweight,0,0,0,0,0,0,0,0,0,Switch,172.72,172.72,135,0,1,0,0,0,0,0,0,0,Orthodox,167.64,172.72,145,28,31
Alexander Hernandez,Thiago Moises,2/27/2021,"Las Vegas, Nevada, USA",Blue,Lightweight,3,2,0,0,0,2,0,1,0,Orthodox,175.26,177.8,155,4,2,0,0,0,2,2,0,0,Orthodox,175.26,182.88,155,25,28
Pedro Munhoz,Jimmie Rivera,2/27/2021,"Las Vegas, Nevada, USA",Red,Bantamweight,7,3,0,0,1,5,1,0,0,Orthodox,162.56,172.72,135,8,6,0,0,0,2,3,3,0,Orthodox,167.64,165.1,135,31,34
Alex Caceres,Kevin Croom,2/27/2021,"Las Vegas, Nevada, USA",Red,Featherweight,0,1,0,0,0,0,0,0,0,Orthodox,180.34,185.42,155,12,11,0,0,3,5,0,3,1,Southpaw,177.8,185.42,145,33,32
Alexis Davis,Sabina Mazo,2/27/2021,"Las Vegas, Nevada, USA",Red,WomenBantamweight,3,1,0,0,1,1,0,1,0,Orthodox,170.18,177.8,135,6,5,0,0,2,3,0,1,0,Orthodox,167.64,172.72,135,23,36
Nikita Krylov,Magomed Ankalaev,2/27/2021,"Las Vegas, Nevada, USA",Blue,LightHeavyweight,5,1,0,0,0,1,4,0,0,Orthodox,190.5,190.5,205,8,5,0,0,0,1,3,4,0,Orthodox,190.5,195.58,205,28,28
Dustin Jacoby,Maxim Grishin,2/27/2021,"Las Vegas, Nevada, USA",Red,LightHeavyweight,1,1,0,0,0,0,1,0,0,Orthodox,190.5,198.12,220,1,2,0,0,0,0,1,0,0,Orthodox,190.5,193.04,205,36,32
Aleksei Oleinik,Chris Daukaus,2/20/2021,"Las Vegas, Nevada, USA",Blue,Heavyweight,2,0,0,0,0,0,2,0,0,Orthodox,190.5,193.04,250,8,5,0,0,1,0,1,6,0,Orthodox,187.96,203.2,240,31,43
Charles Rosa,Darrick Minner,2/20/2021,"Las Vegas, Nevada, USA",Blue,Featherweight,1,1,0,0,0,0,0,1,0,Orthodox,170.18,175.26,145,4,4,0,0,1,1,0,2,0,Switch,175.26,175.26,145,30,34
Phil Hawes,Nassourdine Imavov,2/20/2021,"Las Vegas, Nevada, USA",Red,Middleweight,1,0,0,0,0,1,0,0,0,Orthodox,190.5,190.5,185,1,0,0,0,0,0,1,0,0,Orthodox,182.88,195.58,185,25,32
Curtis Blaydes,Derrick Lewis,2/20/2021,"Las Vegas, Nevada, USA",Blue,Heavyweight,15,5,0,0,2,2,11,0,0,Orthodox,190.5,200.66,260,9,3,0,0,0,4,4,0,1,Orthodox,193.04,203.2,265,36,30
Eddie Wineland,John Castaneda,2/20/2021,"Las Vegas, Nevada, USA",Blue,Bantamweight,0,1,0,0,0,0,0,0,0,Switch,167.64,180.34,135,6,8,0,0,1,0,5,0,0,Orthodox,170.18,175.26,135,29,36
Andrei Arlovski,Tom Aspinall,2/20/2021,"Las Vegas, Nevada, USA",Blue,Heavyweight,2,0,0,0,0,0,2,0,0,Orthodox,195.58,198.12,256,19,14,0,0,1,7,9,2,0,Orthodox,190.5,195.58,240,27,42
Jared Gordon,Danny Chavez,2/20/2021,"Las Vegas, Nevada, USA",Red,Featherweight,1,0,0,0,0,1,0,0,0,Orthodox,172.72,170.18,145,4,3,0,0,0,3,1,0,0,Orthodox,175.26,172.72,145,33,32
Ketlen Vieira,Yana Kunitskaya,2/20/2021,"Las Vegas, Nevada, USA",Blue,WomenBantamweight,3,2,0,0,0,3,0,0,0,Orthodox,167.64,172.72,135,5,1,0,0,2,2,0,1,0,Orthodox,172.72,172.72,135,31,29
Aiemann Zahabi,Drako Rodriguez,2/20/2021,"Las Vegas, Nevada, USA",Red,Bantamweight,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,135,1,2,0,0,0,1,0,0,0,Orthodox,172.72,172.72,135,24,33
Serghei Spivac,Jared Vanderaa,2/20/2021,"Las Vegas, Nevada, USA",Red,Heavyweight,0,0,0,0,0,0,0,0,0,Orthodox,193.04,203.2,260,2,2,0,1,0,0,0,1,0,Orthodox,190.5,198.12,260,28,26
Nate Landwehr,Julian Erosa,2/20/2021,"Las Vegas, Nevada, USA",Blue,Featherweight,2,4,0,0,1,0,0,1,0,Southpaw,185.42,187.96,145,1,1,0,0,0,1,0,0,0,Orthodox,175.26,182.88,145,31,32
Shana Dobson,Casey O'Neill,2/20/2021,"Las Vegas, Nevada, USA",Blue,WomenFlyweight,0,0,0,0,0,0,0,0,0,,167.64,175.26,125,2,3,0,0,0,0,2,0,0,Orthodox,167.64,175.26,125,23,31
Maycee Barber,Alexa Grasso,2/13/2021,"Las Vegas, Nevada, USA",Blue,WomenFlyweight,4,3,0,0,1,3,0,0,0,Orthodox,165.1,167.64,125,3,1,0,0,0,0,3,0,0,Switch,165.1,165.1,125,27,22
Belal Muhammad,Dhiego Lima,2/13/2021,"Las Vegas, Nevada, USA",Red,Welterweight,4,5,0,0,2,1,1,0,0,Orthodox,187.96,190.5,170,8,3,0,0,1,5,1,1,0,Orthodox,180.34,182.88,170,32,32
Maki Pitolo,Julian Marquez,2/13/2021,"Las Vegas, Nevada, USA",Blue,Middleweight,1,1,0,0,0,0,0,1,0,Orthodox,187.96,182.88,185,1,3,0,0,0,0,1,0,0,Orthodox,177.8,190.5,185,30,30
Kamaru Usman,Gilbert Burns,2/13/2021,"Las Vegas, Nevada, USA",Red,Welterweight,12,3,0,0,0,5,3,4,0,Orthodox,177.8,180.34,170,12,0,0,0,0,9,2,1,0,Switch,182.88,193.04,170,34,33
Ricky Simon,Brian Kelleher,2/13/2021,"Las Vegas, Nevada, USA",Red,Featherweight,6,4,0,0,0,1,2,3,0,Switch,167.64,167.64,145,5,2,0,0,1,2,1,1,0,Orthodox,167.64,175.26,135,34,28
Kelvin Gastelum,Ian Heinisch,2/13/2021,"Las Vegas, Nevada, USA",Red,Middleweight,3,2,0,0,0,2,1,0,0,Orthodox,180.34,182.88,185,10,7,0,0,3,2,3,2,0,Southpaw,175.26,180.34,185,32,29
Polyana Viana,Mallory Martin,2/13/2021,"Las Vegas, Nevada, USA",Red,WomenStrawweight,1,1,0,0,0,0,0,1,0,Orthodox,162.56,160.02,115,2,3,0,0,0,0,0,2,0,Orthodox,165.1,170.18,115,27,28
Rodolfo Vieira,Anthony Hernandez,2/13/2021,"Las Vegas, Nevada, USA",Blue,Middleweight,1,2,0,0,0,0,0,1,0,Orthodox,182.88,190.5,185,2,0,0,0,0,0,0,2,0,Orthodox,182.88,185.42,185,27,31
Gabe Green,Philip Rowe,2/13/2021,"Las Vegas, Nevada, USA",Red,Welterweight,0,0,0,0,0,0,0,0,0,Orthodox,190.5,203.2,170,0,1,0,0,0,0,0,0,0,Switch,177.8,185.42,170,30,27
Andre Ewell,Chris Gutierrez,2/13/2021,"Las Vegas, Nevada, USA",Blue,CatchWeight,3,2,0,0,1,1,1,0,0,Orthodox,175.26,170.18,145,4,2,0,0,3,1,0,0,0,Southpaw,172.72,190.5,135,29,33
Alexandre Pantoja,Manel Kape,2/6/2021,"Las Vegas, Nevada, USA",Red,Flyweight,0,0,0,0,0,0,0,0,0,Southpaw,165.1,172.72,125,6,3,0,0,1,1,2,2,0,Orthodox,165.1,170.18,125,27,30
Karol Rosa,Joselyne Edwards,2/6/2021,"Las Vegas, Nevada, USA",Red,WomenBantamweight,1,0,0,0,0,1,0,0,0,Orthodox,172.72,177.8,135,2,0,0,0,1,1,0,0,0,Orthodox,165.1,170.18,135,25,26
Devonte Smith,Justin Jaynes,2/6/2021,"Las Vegas, Nevada, USA",Red,CatchWeight,1,2,0,0,0,0,1,0,0,Orthodox,170.18,172.72,155,2,1,0,0,0,0,2,0,0,Orthodox,175.26,193.04,155,31,27
Michael Johnson,Clay Guida,2/6/2021,"Las Vegas, Nevada, USA",Blue,Lightweight,15,14,0,0,3,6,2,4,0,Orthodox,170.18,177.8,155,11,12,0,0,1,6,4,0,0,Southpaw,177.8,185.42,155,39,34
Alistair Overeem,Alexander Volkov,2/6/2021,"Las Vegas, Nevada, USA",Blue,Heavyweight,6,2,0,0,1,2,3,0,0,Orthodox,200.66,203.2,250,12,7,0,1,0,2,9,0,0,Orthodox,193.04,203.2,265,32,40
Diego Ferreira,Beneil Dariush,2/6/2021,"Las Vegas, Nevada, USA",Blue,Lightweight,13,5,0,0,1,4,3,5,0,Southpaw,177.8,182.88,155,8,2,0,0,0,3,3,2,0,Orthodox,175.26,187.96,155,31,36
Cory Sandhagen,Frankie Edgar,2/6/2021,"Las Vegas, Nevada, USA",Red,Bantamweight,18,9,0,0,1,10,4,2,1,Orthodox,167.64,172.72,135,6,1,0,0,1,1,3,1,0,Switch,180.34,177.8,135,39,28
Mike Rodriguez,Danilo Marques,2/6/2021,"Las Vegas, Nevada, USA",Blue,LightHeavyweight,1,0,0,0,0,1,0,0,0,Orthodox,198.12,195.58,205,2,4,0,0,0,0,2,0,0,Southpaw,193.04,208.28,205,35,32
Ode Osbourne,Jerome Rivera,2/6/2021,"Las Vegas, Nevada, USA",Red,Featherweight,0,2,0,0,0,0,0,0,0,Southpaw,177.8,182.88,145,0,1,0,0,0,0,0,0,0,Southpaw,170.18,185.42,145,25,29
SeungWoo Choi,Youssef Zalal,2/6/2021,"Las Vegas, Nevada, USA",Red,Featherweight,3,1,0,0,0,3,0,0,0,Switch,177.8,182.88,145,1,2,0,0,0,1,0,0,0,Orthodox,182.88,187.96,145,24,28
Molly McCann,Lara Procopio,2/6/2021,"Las Vegas, Nevada, USA",Blue,WomenFlyweight,0,1,0,0,0,0,0,0,0,Orthodox,162.56,170.18,125,3,2,0,0,0,3,0,0,0,Orthodox,162.56,157.48,125,25,30
Timur Valiev,Martin Day,2/6/2021,"Las Vegas, Nevada, USA",Red,Featherweight,0,3,0,0,0,0,0,0,0,Orthodox,177.8,185.42,145,0,1,0,0,0,0,0,0,0,Orthodox,167.64,170.18,145,32,31
Dan Hooker,Michael Chandler,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Lightweight,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,155,10,5,0,0,1,1,6,2,0,Switch,182.88,190.5,155,34,30
Andrew Sanchez,Makhmud Muradov,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Middleweight,2,0,0,0,0,1,1,0,0,Orthodox,187.96,190.5,185,5,3,0,0,0,4,1,0,0,Orthodox,185.42,187.96,185,30,32
Julianna Pena,Sara McMann,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,WomenBantamweight,6,5,0,0,1,2,1,2,0,Orthodox,167.64,167.64,135,5,2,0,0,0,3,2,0,0,Orthodox,167.64,175.26,135,40,31
Jessica Eye,Joanne Calderwood,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,WomenFlyweight,6,5,0,0,1,3,1,1,0,Orthodox,167.64,165.1,125,5,8,0,0,2,2,0,0,1,Orthodox,167.64,167.64,125,35,34
Dustin Poirier,Conor McGregor,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Lightweight,10,2,0,1,0,1,8,0,0,Southpaw,175.26,187.96,155,18,6,0,1,0,6,8,3,0,Southpaw,175.26,182.88,155,32,32
Brad Tavares,Antonio Carlos Junior,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,7,5,0,0,0,2,0,5,0,Orthodox,187.96,200.66,185,12,6,0,0,2,8,2,0,0,Orthodox,185.42,187.96,185,30,33
Arman Tsarukyan,Matt Frevola,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Lightweight,2,2,0,0,1,1,0,0,0,Orthodox,175.26,180.34,155,2,1,0,0,0,2,0,0,0,Orthodox,170.18,182.88,155,30,24
Marina Rodriguez,Amanda Ribas,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,WomenStrawweight,4,0,0,0,0,2,0,2,0,Orthodox,160.02,167.64,125,2,3,0,0,0,2,0,0,0,Orthodox,167.64,165.1,115,27,33
Amir Albazi,Zhalgas Zhumagulov,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Flyweight,0,1,0,0,0,0,0,0,0,Switch,162.56,167.64,125,1,0,0,0,0,0,0,1,0,Orthodox,165.1,172.72,125,32,27
Khalil Rountree Jr.,Marcin Prachnio,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,LightHeavyweight,0,3,0,0,0,0,0,0,0,Orthodox,190.5,187.96,205,4,5,0,0,0,1,3,0,0,Southpaw,185.42,193.04,205,32,30
Nik Lentz,Movsar Evloev,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,CatchWeight,3,0,0,0,0,3,0,0,0,Orthodox,170.18,182.88,145,14,10,0,0,2,7,3,2,0,Orthodox,172.72,172.72,145,26,36
Ricky Simon,Gaetano Pirrello,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Bantamweight,0,0,0,0,0,0,0,0,0,Orthodox,170.18,,135,4,2,0,0,1,2,1,0,0,Orthodox,167.64,175.26,135,28,28
Omari Akhmedov,Tom Breese,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,5,2,0,0,0,1,4,0,0,Southpaw,190.5,185.42,185,8,5,0,0,1,5,2,0,0,Orthodox,182.88,185.42,185,29,33
Warlley Alves,Mounir Lazzez,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Welterweight,1,0,0,0,0,1,0,0,0,Orthodox,185.42,193.04,170,7,4,0,0,0,2,1,3,1,Orthodox,180.34,182.88,170,33,30
Matt Schnell,Tyson Nam,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Flyweight,2,2,0,0,0,0,2,0,0,Orthodox,170.18,172.72,125,4,3,0,0,1,1,0,2,0,Orthodox,172.72,177.8,125,37,31
Roxanne Modafferi,Viviane Araujo,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,WomenFlyweight,3,1,0,0,0,2,1,0,0,Orthodox,162.56,172.72,125,4,5,0,0,1,2,1,0,0,Orthodox,170.18,175.26,125,34,38
Ike Villanueva,Vinicius Moreira,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,LightHeavyweight,0,3,0,0,0,0,0,0,0,Orthodox,193.04,193.04,205,0,2,0,0,0,0,0,0,0,Orthodox,185.42,185.42,225,31,36
Michael Chiesa,Neil Magny,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Welterweight,17,6,0,0,1,10,5,1,0,Orthodox,190.5,203.2,170,10,4,0,0,0,4,0,6,0,Southpaw,185.42,190.5,170,33,33
Lerone Murphy,Douglas Silva de Andrade,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Featherweight,4,3,0,0,0,3,1,0,0,Orthodox,170.18,172.72,145,1,1,0,0,0,0,1,0,0,Orthodox,175.26,185.42,145,35,29
Su Mudaerji,Zarrukh Adashev,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Flyweight,0,1,0,0,0,0,0,0,0,Southpaw,165.1,165.1,125,2,1,0,0,0,1,1,0,0,Southpaw,172.72,182.88,125,28,25
Francisco Figueiredo,Jerome Rivera,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Flyweight,0,1,0,0,0,0,0,0,0,Southpaw,177.8,182.88,145,0,0,0,0,0,0,0,0,0,Southpaw,167.64,175.26,135,25,31
Mike Davis,Mason Jones,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Lightweight,0,0,0,0,0,0,0,0,0,Orthodox,177.8,,155,1,1,0,0,0,0,1,0,0,Orthodox,182.88,182.88,145,25,28
Dalcha Lungiambula,Markus Perez,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,2,4,0,0,0,0,0,2,0,Orthodox,185.42,185.42,185,1,1,0,0,0,0,1,0,0,Orthodox,172.72,193.04,185,32,33
Umar Nurmagomedov,Sergey Morozov,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Bantamweight,0,0,0,0,0,0,0,0,0,Orthodox,167.64,,135,0,0,0,0,0,0,0,0,0,Orthodox,172.72,,135,31,24
Victoria Leonardo,Manon Fiorot,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,WomenFlyweight,0,0,0,0,0,0,0,0,0,Orthodox,170.18,,125,0,0,0,0,0,0,0,0,0,Orthodox,165.1,162.56,125,30,30
Wu Yanan,Joselyne Edwards,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,WomenBantamweight,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,135,1,2,0,0,0,0,0,1,0,Orthodox,172.72,167.64,125,25,24
Punahele Soriano,Dusko Todorovic,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,1,0,0,0,0,0,1,0,0,Orthodox,185.42,187.96,185,1,0,0,0,0,0,1,0,0,Southpaw,180.34,182.88,185,26,28
